Category,Term
symptom,chronic acid reflux
symptom,nightmares
symptom,blood in stool
symptom,blood clots
symptom,vomiting blood
treatment,treatment
treatment,therapy
treatment,medication
treatment,remedy
treatment,cure
treatment,surgery
treatment,operation
treatment,chemotherapy
treatment,radiation therapy
treatment,immunotherapy
treatment,physical therapy
treatment,rehabilitation
treatment,occupational therapy
treatment,speech therapy
treatment,counseling
treatment,psychotherapy
treatment,cognitive behavioral therapy
treatment,CBT
treatment,exercise
treatment,diet
treatment,lifestyle changes
treatment,self-care
treatment,IV therapy
treatment,dialysis
treatment,antibiotic therapy
treatment,antiviral therapy
treatment,pain management
treatment,wound care
treatment,blood transfusion
treatment,insulin therapy
treatment,anticoagulation
treatment,diabetes management
treatment,breathing treatment
treatment,inhaler therapy
treatment,oxygen therapy
treatment,hormone therapy
treatment,steroids
treatment,laser therapy
treatment,acupuncture
treatment,massage therapy
treatment,chiropractic care
treatment,homeopathy
treatment,herbal medicine
treatment,naturopathy
treatment,alternative medicine
treatment,detoxification
treatment,vitamin therapy
treatment,nutritional supplements
treatment,hydrotherapy
treatment,palliative care
treatment,end-of-life care
treatment,assisted breathing
treatment,ventilation
treatment,CPR
treatment,AED
treatment,gene therapy
treatment,bone marrow transplant
treatment,stem cell therapy
treatment,joint replacement
treatment,psychological support
treatment,nutritional therapy
treatment,surgery for cancer
treatment,pharmacological treatment
treatment,laser treatment for vision
treatment,dialysis for kidney disease
treatment,antihistamines
treatment,topical steroids
treatment,physiotherapy for fractures
treatment,antibiotic ointment
treatment,vaccine
treatment,IV antibiotics
treatment,chelation therapy
treatment,corticosteroid injections
treatment,antiseptic cleaning
treatment,plasma exchange
treatment,antidiabetic drugs
treatment,antihypertensive drugs
treatment,antipsychotic medication
treatment,counseling for depression
treatment,obesity treatment
treatment,gastric bypass surgery
treatment,colorectal cancer surgery
treatment,sleep therapy
treatment,hormone replacement therapy
treatment,breathing assistance
treatment,trauma care
treatment,palliative radiation therapy
treatment,laser spine surgery
treatment,IV fluids
treatment,orthotics
treatment,bariatric surgery
treatment,psychotherapy for PTSD
treatment,antiviral medications
treatment,stem cell transplantation
treatment,blood thinners
treatment,anticonvulsants
treatment,biological therapy
treatment,biopsy
treatment,therapy for OCD
treatment,stem cell for stroke recovery
treatment,topical antifungal
treatment,electroconvulsive therapy
treatment,dietary modifications
treatment,lipid-lowering medications
treatment,radiotherapy for breast cancer
treatment,childbirth delivery
treatment,oral rehydration
treatment,emergency care
treatment,anesthesia
treatment,surgical resection
treatment,deep brain stimulation
treatment,respiratory therapy
treatment,sepsis treatment
treatment,oxygen therapy for asthma
treatment,immunosuppressive drugs
treatment,vaccination for travel
treatment,skin graft
treatment,hair restoration
treatment,diabetic retinopathy treatment
treatment,cancer radiotherapy
drug,drug
drug,medicine
drug,medication
drug,prescription
drug,antibiotic
drug,antiviral
drug,antifungal
drug,painkiller
drug,NSAID
drug,steroid
drug,anti-inflammatory
drug,antidepressant
drug,antipsychotic
drug,anxiolytic
drug,antihistamine
drug,antacid
drug,diuretic
drug,beta blocker
drug,ACE inhibitor
drug,calcium channel blocker
drug,statin
drug,insulin
drug,vaccine
drug,opioid
drug,sedative
drug,hypnotic
drug,muscle relaxant
drug,bronchodilator
drug,anticoagulant
drug,blood thinner
drug,probiotic
drug,laxative
drug,antispasmodic
drug,antiseptic
drug,topical cream
drug,ointment
drug,inhaler
drug,tablet
drug,capsule
drug,syrup
drug,injection
drug,IV drip
drug,chemotherapy drugs
drug,hormone replacement therapy
drug,contraceptive
drug,IUD
drug,birth control pills
drug,anticonvulsant
drug,mood stabilizer
drug,vitamin
drug,mineral supplement
drug,immune booster
drug,anti-diabetic
drug,antigout
drug,corticosteroid
drug,decongestant
drug,cough suppressant
drug,digestive enzyme
drug,metformin
drug,hydrocodone
drug,oxycodone
drug,fentanyl
drug,gabapentin
drug,amitriptyline
drug,sertraline
drug,fluoxetine
drug,clonazepam
drug,lorazepam
drug,diazepam
drug,levothyroxine
drug,paracetamol
drug,ibuprofen
drug,acetaminophen
drug,penicillin
drug,tetracycline
drug,cephalosporins
drug,azithromycin
drug,antimalarial
drug,chloroquine
drug,ivermectin
drug,oseltamivir
drug,budesonide
drug,salbutamol
drug,dapoxetine
drug,varenicline
drug,nisoldipine
drug,loratadine
drug,cetirizine
drug,diphenhydramine
drug,phenylephrine
drug,levocetirizine
drug,buprenorphine
drug,caffeine
drug,sodium bicarbonate
drug,furosemide
drug,lisinopril
drug,captopril
drug,propranolol
drug,losartan
drug,enoxaparin
drug,warfarin
drug,apixaban
drug,rivaroxaban
drug,dabigatran
drug,colchicine
drug,tramadol
drug,tizanidine
drug,trazodone
drug,clindamycin
drug,lorazepam
drug,zolpidem
drug,oxycodone
drug,carbamazepine
